month,river,count01,count02,count03,count04,count05,count06,count07,count08,count09,count10
07_July,biwa,223,147,175,182,123,168,118,191,144,167
07_July,ane,46,31,51,49,32,43,28,65,71,35
07_July,echi,34,23,31,24,11,16,34,18,13,43
07_July,hino,136,110,126,152,83,101,154,119,105,184
07_July,yasu,66,50,53,88,124,103,83,58,90,43
08_Aug,biwa,83,88,124,117,158,119,182,155,165,184
08_Aug,ane,45,26,31,35,52,29,40,19,35,36
08_Aug,echi,59,60,55,53,47,47,39,41,75,27
08_Aug,hino,168,196,185,145,163,164,196,186,177,162
08_Aug,yasu,148,109,81,128,120,114,146,110,123,94
09_Sep,biwa,168,172,149,223,203,193,156,165,185,165
09_Sep,ane,24,15,46,47,41,53,44,58,53,61
09_Sep,echi,40,91,89,82,53,48,37,37,40,65
09_Sep,hino,126,98,116,109,124,118,110,79,97,108
09_Sep,yasu,117,102,69,89,100,105,96,101,92,76
10_Oct,biwa,121,105,113,158,137,116,167,161,247,116
10_Oct,ane,242,226,132,259,163,137,155,138,218,210
10_Oct,echi,718,784,1049,1034,560,911,892,743,369,679
10_Oct,hino,496,517,464,421,449,476,391,531,425,412
10_Oct,yasu,38,3369,208,279,362,392,273,252,341,305
